,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1GOLD,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
CFG,0.3559,0.3826,0.3951,0.3974,0.3968,0.4488,0.4368,0.4012,0.3747,0.3623,0.3829,0.3633,0.3579,0.3537,0.3448,0.3269,0.3366,0.3364,0.3279,0.3393,0.3412,0.3425,0.3395,0.3375,0.3364,0.3281,0.3693,0.3707,0.353,0.3511,0.3344
WTC,0.242,0.2498,0.2634,0.2507,0.2693,0.2687,0.2733,0.2823,0.2828,0.2563,0.2688,0.2507,0.2515,0.255,0.2512,0.2564,0.2599,0.2592,0.2515,0.2595,0.2667,0.2771,0.2733,0.2829,0.2888,0.2817,0.3104,0.3016,0.2778,0.2904,0.2708
FLUX,0.8313,0.916,0.8889,0.8538,0.8524,0.8478,0.9784,0.9004,1.002,1.015,1.034,0.9749,0.9881,0.9595,0.9953,1.005,1.205,1.345,1.154,1.263,1.241,1.343,1.298,1.314,1.238,1.141,1.263,1.177,1.064,1.094,0.9746
AGLD,0.3588,0.3695,0.3918,0.3835,0.3833,0.3735,0.3739,0.3387,0.3465,0.3256,0.3498,0.3333,0.3466,0.3451,0.35,0.366,0.3578,0.3738,0.4316,0.4194,0.404,0.415,0.4193,0.425,0.408,0.4011,0.378,0.3569,0.3458,0.3569,0.315
GMTT,0.1015,0.0981,0.1057,0.106,0.108,0.1078,0.1089,0.09986,0.09754,0.09671,0.1007,0.09859,0.09906,0.1004,0.09559,0.09891,0.1006,0.1025,0.1056,0.1083,0.1103,0.1134,0.1162,0.1141,0.114,0.107,0.1106,0.1131,0.09811,0.1052,0.1042
USDP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,0.999,1.0,0.999,1.001,0.997,1.001,1.0,0.999,1.0,1.0,0.999,0.996,0.997,1.0,1.0,1.003,0.999,0.999,1.0,1.0,1.0,1.0
BTG,23.81,24.53,24.88,24.64,25.26,25.68,26.12,23.67,23.26,22.1,23.35,22.69,22.85,22.79,22.5,22.42,22.63,25.13,22.48,23.65,23.81,26.05,26.26,25.66,25.91,23.37,24.65,23.35,22.81,23.24,21.38
NUT,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.455,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.31,0.31,0.4057,0.3111,0.36,0.36,0.4427,0.4444,0.4444,0.4444,0.4179,0.4444,0.4444
BHPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTX,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
DORA,2.134,2.14,2.216,2.265,2.505,2.581,2.593,2.756,2.777,2.779,2.967,2.693,2.645,2.695,2.637,2.798,2.904,2.818,2.517,2.718,2.881,2.888,2.915,2.851,3.044,2.806,3.044,2.727,2.704,2.781,3.026
INST,0.9352,0.8732,0.7926,0.6537,0.7517,0.7692,0.7351,0.713,0.71,0.7127,0.6785,0.6336,0.6344,0.6885,0.6608,0.6606,0.9282,0.8424,0.7863,0.7746,0.7944,0.7806,0.7943,0.8621,0.8113,0.8126,0.8299,0.7892,0.7214,0.8143,0.6723
YFII,1010.22,1051.39,1020.34,999.81,1026.89,1013.2,1003.37,893.05,912.96,875.73,925.67,1053.12,1000.54,999.9,996.59,1000.66,1000.99,979.68,915.98,965.34,946.81,1021.1,1017.62,1020.83,997.22,937.42,941.38,916.46,911.02,931.48,835.64
USDS,0.9376,0.9968,0.9968,0.9968,0.8697,0.9968,0.8718,0.701,0.9907,0.9968,0.9968,0.9968,0.9968,0.9968,0.9968,0.9321,0.9968,0.9968,0.9395,1.01,0.9968,0.9968,0.9968,0.9968,0.9481,0.9968,0.9968,0.9968,0.9968,0.8717,0.9968
GFI,1.055,1.045,1.037,1.046,1.078,1.044,1.04,1.038,0.9995,0.9605,0.9883,0.9246,0.8809,0.8828,0.8939,0.8632,0.8437,0.8575,0.7739,0.812,0.8194,0.869,0.8888,0.8821,0.8346,0.7873,0.7618,0.7344,0.7056,1.172,1.019
GT,4.373,4.436,4.571,4.57,4.523,4.492,4.568,4.38,4.376,4.323,4.398,4.254,4.299,4.308,4.265,4.249,4.212,4.006,3.965,4.009,4.046,4.314,4.324,4.329,4.385,4.144,4.309,4.186,4.265,4.276,4.12
FK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYE,1.23,1.37,1.38,1.34,1.37,1.34,1.31,1.28,1.36,1.31,1.28,1.35,1.32,1.31,1.37,1.4,1.35,1.3,1.22,1.32,1.33,1.38,1.28,1.28,1.32,1.16,1.36,1.25,1.27,1.32,1.27
XSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAUC,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555,1.555
ILV,89.85,90.32,92.08,90.85,91.62,89.8,91.33,79.02,77.93,74.2,79.68,77.28,77.61,78.58,76.41,74.72,75.76,75.56,72.41,73.53,74.97,79.08,80.15,77.71,75.82,69.85,71.68,65.51,63.92,64.19,56.17
THETA,1.2,1.194,1.229,1.217,1.236,1.225,1.262,1.153,1.125,1.096,1.183,1.151,1.158,1.164,1.133,1.145,1.17,1.177,1.071,1.11,1.125,1.189,1.188,1.18,1.187,1.087,1.111,1.086,1.084,1.122,1.036
AMPL,1.043,0.9506,1.043,1.011,1.065,1.069,1.031,0.9217,0.8784,0.8625,0.9454,0.8865,0.8914,0.9156,0.8785,0.9065,0.9437,0.9871,0.9443,0.9457,0.9618,1.064,1.146,1.275,1.265,1.055,1.076,1.002,0.9512,0.9937,0.9513
ARK,0.4367,0.4325,0.4401,0.4336,0.4352,0.4339,0.4659,0.4313,0.4164,0.4074,0.4143,0.4102,0.4166,0.4105,0.4068,0.4095,0.4105,0.4061,0.3818,0.3907,0.4041,0.4298,0.4229,0.4389,0.5011,0.432,0.4253,0.4071,0.406,0.424,0.3848
KSM,48.53,48.52,50.68,50.58,49.6,48.85,48.41,44.38,45.63,45.28,49.96,47.43,47.37,47.45,47.74,48.75,50.57,51.32,45.49,48.32,50.23,52.65,52.27,51.94,52.17,46.37,47.51,44.47,43.96,44.77,39.56
YGG,0.5704,0.5681,0.6111,0.6042,0.5918,0.5771,0.5802,0.516,0.5135,0.4793,0.5288,0.4925,0.4787,0.4893,0.4798,0.5217,0.5028,0.4867,0.4416,0.4918,0.4698,0.4961,0.5141,0.5184,0.4814,0.4427,0.4383,0.4195,0.4188,0.4485,0.3795
OMG,1.889,1.874,1.941,1.924,1.968,1.952,1.99,1.779,1.781,1.718,1.866,1.815,1.797,1.805,1.794,1.795,1.909,1.866,1.689,1.814,1.85,1.932,1.93,1.936,1.973,1.781,1.811,1.736,1.766,1.832,1.677
LDO,1.861,1.859,2.162,2.206,2.136,2.172,2.008,1.739,1.627,1.589,1.877,1.792,1.979,2.075,2.191,2.007,2.062,2.026,1.853,1.959,1.885,2.058,2.105,2.088,1.993,1.835,1.828,1.699,1.78,1.897,1.689
ETHW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.67,9.479,8.519,4.437
UTK,0.121,0.1214,0.1243,0.1215,0.1239,0.1237,0.1279,0.1183,0.1153,0.1125,0.1169,0.1169,0.1157,0.1142,0.1149,0.1156,0.1157,0.1151,0.1094,0.1122,0.1134,0.1166,0.1185,0.1224,0.1203,0.1105,0.1107,0.1082,0.1091,0.1139,0.1063
