,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1GOLD,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
CFG,0.3512,0.3503,0.3707,0.3382,0.3395,0.3481,0.3417,0.3409,0.3453,0.3481,0.3493,0.3608,0.3552,0.3572,0.3538,0.3559,0.3681,0.3743,0.361,0.3625,0.3735,0.3723,0.3631,0.3692,0.3744,0.3536,0.353,0.3572,0.3605,0.3592,0.3594,0.3601,0.3571,0.3572,0.361,0.3635,0.3609,0.361,0.3604,0.359,0.3582,0.3581,0.3577,0.3581,0.3777,0.3651,0.3673,0.3522,0.3508,0.3504,0.3511,0.3523,0.3539,0.3539,0.354,0.354,0.3545,0.3549,0.3549,0.3477,0.3447,0.3449,0.3547,0.3476,0.3469,0.3451,0.3443,0.3477,0.3493,0.3402,0.3394,0.3386,0.338
WTC,0.3013,0.3002,0.3016,0.3024,0.2995,0.3014,0.3047,0.3074,0.3058,0.3054,0.3048,0.2846,0.2832,0.2865,0.2886,0.2804,0.2807,0.2826,0.2823,0.2773,0.2763,0.2735,0.2769,0.2785,0.2785,0.2775,0.2778,0.2796,0.2754,0.2761,0.2778,0.2795,0.2783,0.2797,0.2837,0.2867,0.2856,0.2886,0.2918,0.2917,0.2897,0.2881,0.2876,0.2876,0.2858,0.2839,0.2855,0.286,0.285,0.2856,0.2904,0.2891,0.2898,0.2914,0.2911,0.2892,0.2894,0.2911,0.2934,0.2914,0.2834,0.2844,0.2817,0.2829,0.281,0.2797,0.2787,0.2752,0.28,0.2806,0.2821,0.279,0.2714
FLUX,1.178,1.148,1.177,1.169,1.167,1.152,1.158,1.163,1.16,1.15,1.122,1.052,1.069,1.06,1.061,1.044,1.038,1.09,1.102,1.087,1.073,1.09,1.092,1.132,1.121,1.08,1.064,1.093,1.104,1.087,1.082,1.096,1.085,1.088,1.091,1.099,1.096,1.088,1.087,1.097,1.089,1.089,1.087,1.089,1.092,1.094,1.092,1.095,1.095,1.095,1.094,1.065,1.068,1.08,1.075,1.07,1.076,1.075,1.062,1.066,1.035,1.044,1.044,1.017,1.016,1.016,1.018,1.007,0.9923,0.9916,0.9817,0.973,0.9798
AGLD,0.3609,0.357,0.3569,0.3577,0.3581,0.3608,0.3592,0.354,0.3501,0.351,0.3493,0.344,0.3463,0.35,0.3503,0.3477,0.3409,0.3463,0.3481,0.341,0.343,0.344,0.3447,0.3458,0.3452,0.3459,0.3458,0.3481,0.3493,0.35,0.3522,0.3503,0.3485,0.3482,0.3501,0.3501,0.3501,0.3493,0.3508,0.352,0.3527,0.3548,0.3577,0.3583,0.3569,0.3571,0.3551,0.3548,0.3538,0.3557,0.3569,0.3524,0.3523,0.3521,0.3507,0.3519,0.353,0.3522,0.3531,0.3532,0.3444,0.346,0.346,0.3478,0.3461,0.343,0.3424,0.3387,0.3351,0.334,0.3351,0.3321,0.3167
GMTT,0.1104,0.1148,0.1131,0.08783,0.1119,0.1098,0.103,0.1025,0.08639,0.101,0.1038,0.09942,0.09787,0.09879,0.09921,0.09921,0.09937,0.09929,0.09929,0.09122,0.09144,0.0989,0.09096,0.1012,0.09968,0.1039,0.09811,0.09115,0.09455,0.09527,0.09906,0.1006,0.1006,0.1006,0.1007,0.1007,0.1007,0.1007,0.1007,0.1007,0.1028,0.1026,0.1034,0.1043,0.106,0.1054,0.1054,0.1054,0.1044,0.1058,0.1052,0.1056,0.1057,0.1057,0.1048,0.1048,0.1049,0.1048,0.1048,0.1049,0.1047,0.1047,0.1047,0.1048,0.1048,0.1047,0.1047,0.1046,0.1045,0.1044,0.1044,0.1044,0.1042
USDP,1.0,1.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.001,1.0,1.0,0.999,1.001,1.0,1.0,1.001,1.0,1.001,1.001,1.0,1.001,1.002,1.0,1.0,1.001,1.0,1.001,1.001,1.0,1.0,1.0,1.0,1.001,1.0,1.0,1.005,1.0,1.001,1.0,1.0,1.001,1.001,1.001,1.005,1.0,1.001,1.0,1.0,1.0,1.0,1.003,1.0,1.0,1.0,1.0,1.001,1.0,1.0,1.001,1.0,1.001,1.0,1.0,1.0,1.001,1.002,1.0,1.0,1.001
BTG,23.56,23.38,23.35,23.41,23.33,23.17,23.13,23.19,23.06,23.05,22.9,22.55,22.78,22.82,22.98,22.76,22.45,22.62,22.74,22.62,22.59,22.64,22.7,22.75,22.82,22.79,22.81,23.02,23.03,22.95,22.93,23.0,22.87,22.92,22.94,22.96,22.93,22.94,22.94,22.91,22.89,23.04,23.09,23.16,23.13,23.11,23.08,23.25,23.09,23.16,23.24,23.12,23.08,23.08,23.04,23.07,23.07,23.04,23.0,22.92,22.72,22.75,22.77,22.76,22.8,22.6,22.66,22.49,22.04,22.18,22.28,22.2,21.58
NUT,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4149,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444
BHPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
