,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1GOLD,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
CFG,0.3387,0.3391,0.3386,0.3387,0.3389,0.3388,0.3389,0.3383,0.3385,0.3386,0.3386,0.3386,0.3381,0.3388,0.3382,0.3387,0.3384,0.3382,0.3388,0.3385,0.3388,0.3383,0.3391,0.3384,0.3385,0.3386,0.3391,0.3389,0.3386,0.3389,0.3388,0.3387,0.3386,0.3386,0.3385,0.3388,0.3385,0.3384,0.3388,0.3384,0.3386,0.3388,0.3384,0.339,0.3387,0.339,0.3387,0.3388,0.3389,0.3386,0.3391,0.3384,0.3387,0.3393,0.3392,0.339,0.3389,0.3391,0.3389,0.3388,0.3391
WTC,0.2806,0.2805,0.2806,0.2809,0.2808,0.2809,0.2808,0.2809,0.2809,0.2809,0.281,0.2809,0.2804,0.2798,0.2807,0.2809,0.2802,0.2802,0.2792,0.28,0.28,0.2792,0.2793,0.2791,0.2796,0.2796,0.2794,0.2793,0.2792,0.2792,0.2792,0.2802,0.2797,0.2792,0.2803,0.2805,0.2806,0.2805,0.28,0.2801,0.2796,0.2801,0.2791,0.2787,0.2788,0.2785,0.2787,0.2793,0.2793,0.279,0.2789,0.2785,0.2796,0.2791,0.2783,0.2785,0.2779,0.2778,0.2777,0.2764,0.2757
FLUX,0.9803,0.9784,0.9722,0.9665,0.9657,0.9668,0.9685,0.9686,0.9691,0.9702,0.9703,0.9699,0.9706,0.9697,0.9696,0.9709,0.9704,0.9699,0.97,0.9707,0.9706,0.9706,0.9708,0.9709,0.9721,0.9723,0.9723,0.9721,0.9724,0.9724,0.9724,0.9746,0.9767,0.9768,0.9758,0.9755,0.9756,0.9759,0.9733,0.9727,0.9736,0.9738,0.9727,0.9711,0.9714,0.9722,0.9731,0.9734,0.974,0.973,0.9722,0.9732,0.977,0.9769,0.9761,0.974,0.9746,0.9746,0.9745,0.9708,0.9665
AGLD,0.334,0.334,0.334,0.3333,0.334,0.334,0.334,0.3339,0.3339,0.3339,0.3339,0.3339,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.3341,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.3333,0.3332,0.3333,0.3333,0.3339,0.3339,0.3339,0.3339,0.3339,0.3339,0.3331,0.333,0.3329,0.3329,0.3329,0.3321,0.3321,0.3321,0.3321,0.3321,0.3321,0.3321,0.3321,0.332,0.332,0.332,0.332,0.331,0.3311,0.3311,0.3311,0.3311,0.3289,0.3249
GMTT,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1043
USDP,1.001,1.001,1.001,1.001,1.001,1.0,1.0,1.0,1.0,1.001,1.0,1.0,1.0,1.001,1.0,1.0,1.0,1.0,1.0,1.001,1.0,1.0,1.0,1.0,0.9999,1.0,0.9999,0.9998,0.9999,0.9997,1.0,1.0,1.0,1.002,1.0,1.0,1.0,0.9993,1.0,1.002,1.002,0.9983,1.0,1.0,1.0,0.9984,1.004,1.0,1.0,1.004,0.9984,1.0,1.0,1.001,1.001,0.9999,1.0,1.0,1.0,1.0,0.9999
BTG,22.28,22.27,22.27,22.27,22.26,22.25,22.26,22.26,22.27,22.27,22.27,22.27,22.26,22.26,22.27,22.26,22.26,22.27,22.26,22.26,22.27,22.27,22.27,22.26,22.26,22.23,22.23,22.23,22.23,22.24,22.23,22.22,22.23,22.22,22.22,22.22,22.22,22.22,22.21,22.22,22.21,22.23,22.17,22.23,22.19,22.23,22.19,22.2,22.23,22.2,22.22,22.22,22.2,22.2,22.22,22.2,22.19,22.15,22.19,22.17,22.11
NUT,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444,0.4444
BHPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
