,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
BTCD,90.04,88.19,90.52,90.94,93.14,92.67,94.85,84.39,83.42,79.82,86.83,85.24,86.94,88.72,88.16,87.12,88.32,90.46,87.2,91.17,91.48,96.12,99.29,98.76,96.02,88.08,91.65,82.37,80.21,82.18,74.65
BTMK,1e-11,1e-11,2e-11,1e-11,2e-11,1e-11,2e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11,2e-11,2e-11,2e-11,1e-11,1e-11,1e-11,1e-11,1e-11,1e-11
UNO,214.6,217.73,221.61,220.54,221.72,220.1,222.11,208.49,206.39,201.46,208.99,204.04,206.49,207.36,205.51,204.27,206.03,203.89,193.54,198.63,198.99,220.01,222.97,224.81,230.69,207.81,208.32,202.91,204.0,207.17,200.0
XPM,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
MAID,0.2398,0.2516,0.3057,0.2475,0.2829,0.2928,0.2704,0.2996,0.2867,0.2605,0.266,0.2803,0.2927,0.2982,0.3039,0.2911,0.2916,0.2866,0.2614,0.2914,0.2894,0.301,0.3245,0.3191,0.2921,0.3036,0.3155,0.2969,0.3147,0.2852,0.261
BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XBC,4.0,4.0,4.0,4.0,4.0,4.5,4.151,4.5,4.008,3.912,4.261,4.5,4.21,4.5,4.5,4.5,4.5,4.5,2.443,3.21,3.21,3.21,2.814,5.0,5.0,3.21,3.22,3.22,3.961,4.023,3.22
VAL,1.877,1.915,1.989,1.947,1.94,1.934,1.805,1.812,1.742,1.727,1.815,1.745,1.766,1.776,1.744,1.777,1.738,1.724,1.656,1.729,1.701,1.769,1.798,1.813,1.806,1.633,1.677,1.666,1.759,1.718,1.525
DSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRAX,0.62,0.623,0.648,0.675,0.665,0.65,0.6581,0.59,0.591,0.5761,0.597,0.596,0.618,0.6029,0.5889,0.5879,0.594,0.5852,0.553,0.57,0.588,0.611,0.607,0.6129,0.617,0.566,0.574,0.552,0.5579,0.571,0.525
ICN,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452,0.1452
JWL,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
BITCNY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ST,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127
ZCL,0.03188,0.03234,0.03292,0.03276,0.03293,0.03269,0.03299,0.03097,0.03066,0.02993,0.03104,0.03031,0.03067,0.0308,0.03053,0.03034,0.0306,0.03029,0.02875,0.0295,0.02956,0.03268,0.03312,0.03339,0.03427,0.03087,0.03094,0.03014,0.0303,0.03077,0.02971
TIME,60.84,59.25,61.63,61.03,59.24,60.77,60.87,55.09,52.34,56.86,59.43,56.61,59.09,60.69,62.76,58.81,58.67,57.48,55.52,56.19,54.08,57.1,56.5,58.67,56.69,56.01,59.93,60.11,63.2,67.59,75.23
BCCOIN,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
PLU,8.405,8.509,9.044,8.8,8.964,9.099,9.189,8.602,8.689,8.56,8.943,8.615,8.289,8.192,7.905,8.059,8.013,8.183,8.104,7.962,7.759,7.827,7.99,7.881,7.962,7.62,7.618,7.588,7.628,7.667,7.401
TAAS,0.5409,0.5488,0.5585,0.5559,0.5588,0.5547,0.5598,0.5255,0.5202,0.5078,0.5267,0.5143,0.5204,0.5226,0.518,0.5149,0.5193,0.5139,0.4878,0.5006,0.5015,0.5545,0.562,0.5666,0.5814,0.5238,0.525,0.5114,0.5142,0.5221,0.5041
QRL,0.1346,0.1355,0.1379,0.1373,0.1707,0.166,0.1706,0.1522,0.1525,0.1453,0.1544,0.1478,0.1648,0.1504,0.1488,0.1487,0.1504,0.1475,0.1434,0.1506,0.147,0.1623,0.1569,0.1515,0.1579,0.1416,0.1424,0.1397,0.141,0.1446,0.1318
MYST,0.2601,0.2701,0.3,0.2638,0.3,0.2698,0.2726,0.2698,0.2867,0.2856,0.3101,0.3247,0.3247,0.3167,0.3374,0.3374,0.2838,0.2886,0.2864,0.3042,0.3051,0.3042,0.3218,0.3496,0.3383,0.2992,0.3197,0.304,0.2981,0.304,0.2888
VERI,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
8BT,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
SSV,9.715,9.441,14.98,15.27,18.19,16.08,17.01,14.45,14.47,13.34,14.27,12.72,12.82,12.58,15.36,14.74,14.33,15.22,14.08,14.93,14.44,15.5,15.86,16.95,18.3,16.56,16.17,14.45,13.35,13.45,12.29
AGRS,0.3934,0.3648,0.3648,0.3648,0.3648,0.4029,0.3821,0.3756,0.3511,0.3776,0.3849,0.3495,0.35,0.3465,0.3501,0.3486,0.3498,0.3365,0.3458,0.3491,0.3594,0.358,0.3812,0.3547,0.3559,0.3291,0.3194,0.3146,0.311,0.2552,0.295
